"id","paper_id","title","url","abstract","topic"
"1","1248800.1248811","Multiobjective Optimization in Bioinformatics and Computational Biology","http://dl.acm.org/citation.cfm?id=1248800.1248811","This paper reviews the application of multiobjective optimization in the fields of bioinformatics and computational biology. A survey of existing work, organized by application area, forms the main body of the review, following an introduction to the key concepts in multiobjective optimization. An original contribution of the review is the identification of five distinct 'contexts, giving rise to multiple objectives: These are used to explain the reasons behind the use of multiobjective optimization in each application area and also to point the way to potential future uses of the technique.","bioinformatics"
"2","1762370.1762416","Integrating mutations data of the TP53 human gene in the bioinformatics network environment","http://dl.acm.org/citation.cfm?id=1762370.1762416","We present in this paper some new network tools that can improve the accessibility of information on mutations of the TP53 human gene with the aims of allowing for the integration of this data in the growing bioinformatics network environment and of demonstrating a possible methodology for biological data integration. We implemented the IARC TP53 Mutations Database and related subsets in an SRS site, set up some Web Services allowing for a software oriented, programmatic access to this data, created some demo workflows that illustrate how to interact with Web Services and implemented these workflows in the biowep (Workflow Enactment Portal for Bioinformatics) system. In conclusion, we discuss a new flexible and adaptable methodology for data integration in the biomedical research application domain.","bioinformatics"
"3","1356536.1356539","The Grid ontology: bioinformatics service discovery","http://dl.acm.org/citation.cfm?id=1356536.1356539","myGrid supports in silico experiments in the life sciences, enabling the design and enactment of workflows as well as providing components to assist service discovery, data and metadata management. The myGrid ontology is one component in a larger semantic discovery framework for the identification of the highly distributed and heterogeneous bioinformatics services in the public domain. From an initial model of formal OWL-DL semantics throughout, we now adopt a spectrum of expressivity and reasoning for different tasks in service annotation and discovery. Here, we discuss the development and use of the myGrid ontology and our experiences in semantic service discovery.","bioinformatics"
"4","1356536.1356537","An ontology-based framework for bioinformatics workflows","http://dl.acm.org/citation.cfm?id=1356536.1356537","The proliferation of bioinformatics activities brings new challenges how to understand and organise these resources, how to exchange and reuse successful experimental procedures, and to provide interoperability among data and tools. This paper describes an effort toward these directions. It is based on combining research on ontology management, AI and scientific workflows to design, reuse and annotate bioinformatics experiments. The resulting framework supports automatic or interactive composition of tasks based on AI planning techniques and takes advantage of ontologies to support the specification and annotation of bioinformatics workflows. We validate our proposal with a prototype running on real data.","bioinformatics"
"5","1739216.1739219","Medical informatics: transition from data acquisition to data analysis by means of bioinformatics tools and resources","http://dl.acm.org/citation.cfm?id=1739216.1739219","Medical informatics has shifted its focus from acquisition and storage of healthcare data by integrating computational, informational, cognitive and organisational sciences to semantic analysis of the data for problem solving and clinical decision-making. In this transition, bioinformatics tools and resources are the most appropriate means to improve the analysis, as major biological databases are now containing clinical data alongside genomics, proteomics and other biological data. This paper briefly reviews bioinformatics tools and resources and then discusses their applications in analysing clinical data for diagnostics.","bioinformatics"
"6","2415656.2415667","Design and Analysis of Classifier Learning Experiments in Bioinformatics: Survey and Case Studies","http://dl.acm.org/citation.cfm?id=2415656.2415667","In many bioinformatics applications, it is important to assess and compare the performances of algorithms trained from data, to be able to draw conclusions unaffected by chance and are therefore significant. Both the design of such experiments and the analysis of the resulting data using statistical tests should be done carefully for the results to carry significance. In this paper, we first review the performance measures used in classification, the basics of experiment design and statistical tests. We then give the results of our survey over 1,500 papers published in the last two years in three bioinformatics journals (including this one). Although the basics of experiment design are well understood, such as resampling instead of using a single training set and the use of different performance metrics instead of error, only 21 percent of the papers use any statistical test for comparison. In the third part, we analyze four different scenarios which we encounter frequently in the bioinformatics literature, discussing the proper statistical methodology as well as showing an example case study for each. With the supplementary software, we hope that the guidelines we discuss will play an important role in future studies.","bioinformatics"
"7","2428271.2428284","An open framework for extensible multi-stage bioinformatics software","http://dl.acm.org/citation.cfm?id=2428271.2428284","In research labs, there is often a need to customise software at every step in a given bioinformatics workflow, but traditionally it has been difficult to obtain both a high degree of customisability and good performance. Performance-sensitive tools are often highly monolithic, which can make research difficult. We present a novel set of software development principles and a bioinformatics framework, Friedrich, which is currently in early development. Friedrich applications support both early stage experimentation and late stage batch processing, since they simultaneously allow for good performance and a high degree of flexibility and customisability. These benefits are obtained in large part by basing Friedrich on the multiparadigm programming language Scala. We present a case study in the form of a basic genome assembler and its extension with new functionality. Our architecture has the potential to greatly increase the overall productivity of software developers and researchers in bioinformatics.","bioinformatics"
"30","976520.976556","Initial SARS coronavirus genome sequence analysis using a bioinformatics platform","http://dl.acm.org/citation.cfm?id=976520.976556","A dedicated anti-SARS bioinformatics web site was setup in April 2003 at the Centre of bioinformatics (CBI), Peking University (<u>http://antisars.cbi.pku.edu.cn/</u>). A special bioinformatics platform was constructed to analyse the sequence and structure data of SARS coronavirus and other viruses. A total file of 32 SARS coronavirus genome sequences was retrieved from GenBank and mismatches in 30 sites were revealed from the result of multiple sequence alignment. The SARS coronavirus genome sequences can be divided into three groups based on the phylogenetic analysis using the data set constructed from the sequence mismatches.","bioinformatics"
"8","2189805.2189810","Fast Parallel Markov Clustering in Bioinformatics Using Massively Parallel Computing on GPU with CUDA and ELLPACK-R Sparse Format","http://dl.acm.org/citation.cfm?id=2189805.2189810","Markov clustering (MCL) is becoming a key algorithm within bioinformatics for determining clusters in networks. However, with increasing vast amount of data on biological networks, performance and scalability issues are becoming a critical limiting factor in applications. Meanwhile, GPU computing, which uses CUDA tool for implementing a massively parallel computing environment in the GPU card, is becoming a very powerful, efficient, and low-cost option to achieve substantial performance gains over CPU approaches. The use of on-chip memory on the GPU is efficiently lowering the latency time, thus, circumventing a major issue in other parallel computing environments, such as MPI. We introduce a very fast Markov clustering algorithm using CUDA (CUDA-MCL) to perform parallel sparse matrix-matrix computations and parallel sparse Markov matrix normalizations, which are at the heart of MCL. We utilized ELLPACK-R sparse format to allow the effective and fine-grain massively parallel processing to cope with the sparse nature of interaction networks data sets in bioinformatics applications. As the results show, CUDA-MCL is significantly faster than the original MCL running on CPU. Thus, large-scale parallel computation on off-the-shelf desktop-machines, that were previously only possible on supercomputing architectures, can significantly change the way bioinformaticians and biologists deal with their data.","bioinformatics"
"9","1706500.1706507","Integrating flexibility and interactivity in bioinformatics visual programming tools with Focus Context algorithm","http://dl.acm.org/citation.cfm?id=1706500.1706507","An improved bioinformatics visual programming prototype system VBP that aims to visualise highly complicated bioinformatical data is described. In this paper, we describe the integration of Focus Context algorithm and bio-visual programming to show the dynamic adjusting of focusing on details without losing the context simultaneously. Because of this flexible and interactive architecture, VBP makes an ideal bio-visual programming tool for future bioinformatics or systems biology research.","bioinformatics"
